
0x64fa...7F4f|37,868,963.5467|59,542.26|333.7%|
0x2F9E...16d0|8,230,375.2251|12,939.88|333.7%|
0xA4DE...d455|8,797,193.5310|13,827.98|333.8%|
0xa104...4e14|11,881,638.6120|18,674.35|333.8%|
0x5d64...4b22|608,602.0043|955.53|334.1%|
0xA07D...BaAb|4,029,972.9093|6,326.14|334.2%|
0x3F2c...efCF|1,203,194.4889|1,885.74|334.7%|
0xF2D4...795e|2,493,781.1504|3,905.04|335.0%|
0xf167...C6CC|1,116,286.3953|1,746.82|335.3%|
0x71A6...faD7|674,246.4965|1,055.00|335.3%|
0x56c0...749A|2,438,003.1840|3,810.91|335.6%|
0x1b2e...ec04|1,898,195.7791|2,963.09|336.1%|
0x707D...E55C|3,055,966.6664|4,764.60|336.5%|
0xa5a5...133c|34,506,705.0039|53,761.09|336.7%|
0xC394...bf00|1,534,509.9772|2,390.69|336.7%|
0x96A5...eAad|1,545,096.3562|2,402.25|337.4%|
0xCAf2...db9b|1,628,498.1234|2,528.00|338.0%|
0xA64B...9AdA|323,550.7583|502.11|338.1%|
0x5CC5...5073|322,715.9176|500.04|338.6%|
0x315f...37Db|2,111,116.6208|3,268.94|338.8%|

0xC693...4Bd4|325,000.0000|502.25|339.5%|
0x22Cf...7fcd|1,077,175.1983|1,661.70|340.1%|
0x7259...cd93|10,918,748.5083|16,758.16|341.8%|
0xd7c3...7C63|6,258,786.6240|9,592.26|342.3%|
0xAF87...3D4d|3,020,472.2958|4,626.00|342.5%|
0x6825...d2dB|2,512,079.8544|3,844.90|342.8%|
0x1720...028c|413,460.1220|631.84|343.3%|
0x3640...7bED|758,821.0000|1,158.50|343.6%|
0x455A...0C5D|359,094.5562|547.18|344.3%|
0x67A7...f992|1,152,186.1883|1,745.60|346.3%|
0x6AfB...e57E|2,440,291.1021|3,696.56|346.3%|
0xE47F...c4C6|632,429.8798|957.82|346.4%|
0x7a7f...9430|15,245,082.7273|23,059.43|346.8%|
0x22B1...23F0|3,997,837.7141|6,031.54|347.7%|
0xB9aC...9fdE|2,700,000.0000|4,070.00|348.0%|
0x2C48...0116|700,000.0000|1,055.00|348.1%|
0x99Eb...4A19|503,887.2829|759.03|348.3%|
0x9000...f497|1,156,310.1553|1,740.69|348.5%|
0xC034...Cc6B|4,930,000.0000|7,400.00|349.5%|
0xEd0b...6DEd|2,000,000.0000|3,000.00|349.8%|

0xd9DF...F65a|333,363.2852|500.00|349.8%|
0xeA0F...e2aF|1,789,030.9423|2,682.91|349.8%|
0x4336...08aF|82,145,094.6613|123,071.96|350.2%|
0x94bc...8323|866,696.8936|1,297.52|350.4%|
0x7EEC...E080|905,097.4800|1,350.83|351.5%|
0x47Ff...CA93|1,284,733.1947|1,910.02|352.9%|
0xE01E...BADD|1,500,000.0000|2,210.75|356.0%|
0xdBeD...e2c0|1,049,675.4665|1,541.99|357.1%|
0x3D4d...aE01|14,125,953.4762|20,669.09|358.5%|
0x26aA...8e8f|1,548,883.6557|2,258.46|359.8%|
0x2D21...530c|3,055,214.9387|4,452.79|360.0%|
0xCF27...a523|2,323,769.4521|3,348.16|364.1%|
0xBdc3...4e6A|614,157.2869|884.28|364.4%|
0x5D8f...cf73|589,228.2061|847.33|364.8%|
0x2730...bAbE|775,038.4974|1,113.00|365.3%|
0xd641...29C5|7,000,000.0000|10,050.00|365.4%|
0x96af...3092|395,126.5331|566.34|366.0%|
0x8dFc...074D|1,422,938.3840|2,039.10|366.1%|
0x9881...18D7|1,308,048.1425|1,866.72|367.6%|
0xb503...b7DC|2,503,129.2095|3,567.50|368.1%|

0x8eeA...5cef|2,999,177.1369|4,271.02|368.4%|
0xBC99...ED13|9,177,631.9792|13,068.37|368.4%|
0x2bE8...Cc66|353,758.2030|502.25|369.5%|
0x18F2...a4fb|744,543.1060|1,052.22|371.2%|
0x250F...c3F4|1,018,426.6562|1,434.45|372.5%|
0x68f5...D12b|1,463,212.9185|2,060.00|372.6%|
0x6A84...ED14|2,114,277.3793|2,976.43|372.7%|
0x2fA2...71Be|504,400.0000|700.60|377.7%|
0x7050...9308|1,140,050.7521|1,581.66|378.1%|
0x1BA0...4f94|574,803.1014|793.95|379.8%|
0x442f...6439|1,127,784.9500|1,557.50|379.9%|
0xBe17...fF0F|1,007,775.4420|1,388.58|380.8%|
0x1aEa...81D3|2,463,067.4006|3,383.00|382.0%|
0xd7b5...9e75|637,529.5326|875.35|382.1%|
0xFCb2...5759|2,232,473.7222|3,065.00|382.1%|
0xc1E0...4874|1,102,176.7227|1,502.49|384.8%|
0xBd86...a406|2,627,301.7588|3,552.48|388.0%|
0xE19c...B040|372,645.0576|500.09|390.9%|
0x3368...25Cb|2,277,936.4187|3,053.70|391.4%|
0x31DD...d8f9|375,000.0000|500.00|393.5%|

0x73f1...2BbA|5,828,435.0620|7,753.21|394.4%|
