
0x3E8c...250E|740,529,368.8535|1,994.95|651.6%|
0x89a4...76B6|39,863,662,545.6440|103,068.74|678.9%|
0x980D...90dB|1,507,282,661.5792|3,894.92|679.3%|
0x6458...13c9|274,088,397.9483|708.21|679.3%|
0x500d...a844|20,100,222,119.0327|51,916.11|679.6%|
0x45E8...f896|38,739,000,000.0000|100,050.00|679.6%|
0xFCb2...5759|3,799,328,136.6875|9,811.74|679.7%|
0xF438...4c5C|49,754,778,327.9223|128,477.82|679.8%|
0xE5c7...47b5|989,592,680.9543|2,554.83|679.9%|
0x2986...AcEe|234,729,518.3082|605.59|680.4%|
0x41DA...E88e|1,397,392,084.3969|3,604.44|680.5%|
0xB4C8...DCC6|285,000,000.0000|735.00|680.6%|
0x39E5...AA0a|429,918,840.0781|1,108.06|681.0%|
0x8dFc...074D|1,186,778,921.9623|3,058.29|681.1%|
0x9EA9...6449|3,802,812,917.7588|9,797.03|681.3%|
0xdAC5...1DAd|1,554,901,433.0763|4,005.64|681.4%|
0xfEf2...597a|506,824,169.1506|1,305.48|681.4%|
0x71A6...faD7|1,457,959,907.6118|3,752.36|682.0%|
0x9C4B...c66B|73,672,073,051.0167|189,399.15|682.8%|
0x4B85...5848|2,044,125,691.1445|5,248.78|683.6%|

0x10CE...8E0C|1,158,824,829.9792|2,974.81|683.8%|
0x6431...f2F3|552,986,405.8600|1,418.99|684.0%|
0x5d2F...8B6c|380,454,846.6584|976.19|684.1%|
0xD14A...8f81|693,660,115.6049|1,779.07|684.4%|
0xBC99...ED13|3,251,885,945.5315|8,340.22|684.4%|
0xCd2D...28d7|195,080,000.0000|500.00|684.8%|
0xf167...C6CC|1,916,321,196.2429|4,909.93|685.1%|
0x0a6D...4bA7|983,242,188.0974|2,519.19|685.1%|
0xB76D...F7A9|1,600,725,652.1900|4,100.00|685.3%|
0x803b...DEeA|478,004,777.7402|1,222.25|686.5%|
0x0b5E...9707|363,612,800.3934|929.70|686.5%|
0xa9a5...34a3|610,742,305.3196|1,561.21|686.7%|
0xCEfB...7E1b|1,185,262,712.3654|3,027.51|687.2%|
0xBC1e...47a7|1,087,324,385.3167|2,777.26|687.2%|
0x3Ac6...5767|647,711,441.9710|1,654.34|687.2%|
0x13F9...4Cfd|3,064,028,482.4272|7,825.84|687.2%|
0xe9Df...000A|1,283,816,900.0000|3,278.00|687.4%|
0xb6FB...41b2|16,816,994,858.6809|42,920.17|687.8%|
0xB1FD...Cf72|2,934,152,352.1453|7,477.58|688.8%|
0xbdD8...9a6f|643,563,397.7883|1,639.06|689.2%|

0xFB3c...4Fa3|280,000,000.0000|713.00|689.3%|
0x100D...489d|1,088,953,088.1321|2,770.87|689.8%|
0xbC65...1acf|6,572,829,683.3732|16,714.40|690.3%|
0xc4b9...F2f3|10,011,724,192.0000|25,450.00|690.5%|
0x8f4c...abF4|846,703,621.8221|2,151.15|690.9%|
0x77Db...d5a9|2,451,263,508.0000|6,218.00|692.0%|
0x4858...dD09|200,000,000.0000|507.21|692.1%|
0x932c...AB1E|477,931,829.7593|1,212.03|692.1%|
0x1454...D9E7|302,000,000.0000|765.69|692.3%|
0xCBA1...0031|431,964,550.3027|1,094.65|692.7%|
0xe609...f978|500,578,349.2510|1,268.45|692.7%|
0x5B2f...319A|3,187,744,966.6255|8,076.00|692.8%|
0xE542...EC42|17,470,246,426.7661|44,223.28|693.4%|
0x7a7f...9430|692,253,723.9363|1,751.29|693.8%|
0x899e...0E8d|570,000,000.0000|1,439.95|694.8%|
0x808f...9C87|549,762,917.4589|1,388.73|694.9%|
0xFE40...8452|10,561,407,798.8596|26,672.63|695.0%|
0xC75f...32D6|2,004,839,423.7543|5,060.15|695.4%|
0x7Dd7...48Cb|673,588,450.3182|1,699.95|695.5%|
0xA260...bB5B|428,957,311.9706|1,081.65|696.1%|

0xc75A...869c|2,612,365,409.9615|6,585.64|696.3%|
0x7131...89f9|627,286,540.1943|1,581.03|696.4%|
0x2B12...Cd6C|678,356,901.8776|1,707.74|697.2%|
0x0678...8ebB|676,032,801.8975|1,701.76|697.3%|
0x655D...2360|1,000,000,000.0000|2,510.00|699.3%|
0xcbD9...360a|1,630,340,027.0726|4,091.57|699.4%|
0xc666...9C7b|199,313,197.2113|500.00|699.7%|
0x3e49...Fc1b|209,447,594.6200|525.29|699.9%|
0xb731...FDa7|9,918,916,150.4034|24,871.08|700.0%|
0x0c17...37Cb|4,343,345,166.4723|10,888.00|700.2%|
0x8B1a...A17b|7,779,911,776.8599|19,490.00|700.7%|
0x3136...e114|253,864,579.8907|635.81|700.8%|
0x308E...96E2|280,236,177.1480|701.59|701.1%|
0xCd8e...14A3|517,436,878.3211|1,294.45|701.6%|
0x25E2...0546|6,820,417,175.3530|17,056.63|701.9%|
0x21de...26F5|252,978,446.3891|631.93|702.7%|
0x8938...37a2|623,909,948.4296|1,558.29|702.8%|
0x3eC9...775f|1,793,000,000.0000|4,475.35|703.2%|
0xb503...b7DC|625,000,000.0000|1,559.75|703.4%|
0x17B9...3FCD|238,329,634.0307|593.87|704.4%|

0x74c9...297E|825,000,000.0000|2,055.67|704.4%|
0x4A87...2CFC|393,799,423.6021|980.28|705.1%|
0x51F6...ad2b|856,162,728.0794|2,130.15|705.5%|
0xCF3B...6D5d|403,096,715.2899|1,002.48|705.8%|
0x8851...4fB8|10,445,454,675.5657|25,961.00|706.2%|
0x5B41...2D08|2,033,906,399.2475|5,050.00|706.9%|
0x369d...d91c|362,577,908.0645|900.00|707.1%|
0x3c76...6d06|752,189,969.8822|1,866.58|707.3%|
0x31DD...d8f9|605,000,000.0000|1,500.00|708.0%|
0x2B8f...B458|505,134,386.2199|1,251.29|708.6%|
0x5d39...bB0E|334,083,552.6452|827.35|708.8%|
0x39CB...a27e|1,707,550,283.1428|4,221.47|710.0%|
0x707D...E55C|641,303,549.6580|1,584.63|710.4%|
